"No.","Quantity","Comment","Designator","Footprint","Value","Manufacturer Part","Manufacturer","Supplier Part","Supplier"
"1","1","10uF","C1","C0603","10uF","CL10A106KP8NNNC","SAMSUNG(三星)","C19702","LCSC"
"2","10","100nF","C2,C3,C6,C7,C9,C10,C11,C12,C14,C15","C0402","100nF","CL05B104KO5NNNC","SAMSUNG(三星)","C1525","LCSC"
"3","2","10uF","C4,C5","C0805","10uF","CL21A106KAYNNNE","SAMSUNG(三星)","C15850","LCSC"
"4","1","1uF","C8","C0402","1uF","CL05A105KA5NQNC","SAMSUNG(三星)","C52923","LCSC"
"5","1","4.7uF","C13","C0402","4.7uF","CL05A475MP5NRNC","SAMSUNG(三星)","C23733","LCSC"
"6","1","TF-01A","CARD1","TF-SMD_TF-01A","","TF-01A","韩国韩荣","C91145","LCSC"
"7","1","HX PM2.54-1x9P ZC-Y","CN1","HDR-TH_9P-P2.54-V-F-1","","HX PM2.54-1x9P ZC-Y","hanxia(韩下)","C22438159","LCSC"
"8","1","PZ254R-11-05P","H1","HDR-TH_5P-P2.54-H-M-W10.4","","PZ254R-11-05P","XFCN(兴飞)","C492413","LCSC"
"9","1","PZ254R-11-07P","H2","HDR-TH_7P-P2.54-H-M-W10.4","","PZ254R-11-07P","XFCN(兴飞)","C492415","LCSC"
"10","2","19-21/GHC-YR1S2/4T","PWRLED1,TESTLED1","LED0603-R-RD","","19-21/GHC-YR1S2/4T","EVERLIGHT(亿光)","C2986048","LCSC"
"11","6","5.1kΩ","R1,R2,R10,R11,R12,R13","R0402","5.1kΩ","0402WGF5101TCE","UNI-ROYAL(厚声)","C25905","LCSC"
"12","6","10kΩ","R3,R4,R5,R6,R7,R8","R0805","10kΩ","0805W8F1002T5E","UNI-ROYAL(厚声)","C17414","LCSC"
"13","2","470Ω","R9,R14","R0603","470Ω","0603WAF4700T5E","UNI-ROYAL(厚声)","C23179","LCSC"
"14","1","EC11E1834403","SW1","SW-TH_EC11E1820402","","EC11E1834403","ALPSALPINE(阿尔卑斯阿尔派)","C361165","LCSC"
"15","1","HX TYPE-C 6PIN","U1","USB-C-SMD_HX-TYPE-C-6PIN","","HX TYPE-C 6PIN","hanxia(韩下)","C18357552","LCSC"
"16","1","STM32F446RET6","U2","LQFP-64_L10.0-W10.0-P0.50-LS12.0-BL","","STM32F446RET6","ST(意法半导体)","C69336","LCSC"
"17","1","AP2112K-3.3TRG1","U3","SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR","","AP2112K-3.3TRG1","TECH PUBLIC(台舟)","C23380830","LCSC"
